Gene stable ID	Gene stable ID version	Gene name	Human gene stable ID	Human gene name
ENSMUSG00000064341	ENSMUSG00000064341.1	mt-Nd1	ENSG00000198888	MT-ND1
ENSMUSG00000064345	ENSMUSG00000064345.1	mt-Nd2	ENSG00000198763	MT-ND2
ENSMUSG00000064351	ENSMUSG00000064351.1	mt-Co1	ENSG00000198804	MT-CO1
ENSMUSG00000064354	ENSMUSG00000064354.1	mt-Co2	ENSG00000198712	MT-CO2
ENSMUSG00000064356	ENSMUSG00000064356.1	mt-Atp8	ENSG00000228253	MT-ATP8
ENSMUSG00000064357	ENSMUSG00000064357.1	mt-Atp6	ENSG00000198899	MT-ATP6
ENSMUSG00000064358	ENSMUSG00000064358.1	mt-Co3	ENSG00000198938	MT-CO3
ENSMUSG00000064360	ENSMUSG00000064360.1	mt-Nd3	ENSG00000198840	MT-ND3
ENSMUSG00000065947	ENSMUSG00000065947.1	mt-Nd4l	ENSG00000212907	MT-ND4L
ENSMUSG00000064363	ENSMUSG00000064363.1	mt-Nd4	ENSG00000198886	MT-ND4
ENSMUSG00000064367	ENSMUSG00000064367.1	mt-Nd5	ENSG00000198786	MT-ND5
ENSMUSG00000064368	ENSMUSG00000064368.1	mt-Nd6	ENSG00000198695	MT-ND6
ENSMUSG00000064370	ENSMUSG00000064370.1	mt-Cytb	ENSG00000198727	MT-CYB
ENSMUSG00000094915	ENSMUSG00000094915.2	AC168977.2	ENSG00000067066	SP100
ENSMUSG00000079808	ENSMUSG00000079808.4	AC168977.1	ENSG00000135899	SP110
ENSMUSG00000094741	ENSMUSG00000094741.2	AC140325.3	ENSG00000274764	PRAMEF27
ENSMUSG00000094741	ENSMUSG00000094741.2	AC140325.3	ENSG00000204479	PRAMEF17
ENSMUSG00000094741	ENSMUSG00000094741.2	AC140325.3	ENSG00000204480	PRAMEF19
ENSMUSG00000094741	ENSMUSG00000094741.2	AC140325.3	ENSG00000237700	PRAMEF33
ENSMUSG00000094741	ENSMUSG00000094741.2	AC140325.3	ENSG00000116726	PRAMEF12
ENSMUSG00000094741	ENSMUSG00000094741.2	AC140325.3	ENSG00000232423	PRAMEF6
ENSMUSG00000094741	ENSMUSG00000094741.2	AC140325.3	ENSG00000279804	PRAMEF18
ENSMUSG00000094741	ENSMUSG00000094741.2	AC140325.3	ENSG00000182330	PRAMEF8
ENSMUSG00000094741	ENSMUSG00000094741.2	AC140325.3	ENSG00000116721	PRAMEF1
ENSMUSG00000094741	ENSMUSG00000094741.2	AC140325.3	ENSG00000229571	PRAMEF25
ENSMUSG00000094741	ENSMUSG00000094741.2	AC140325.3	ENSG00000120952	PRAMEF2
ENSMUSG00000094741	ENSMUSG00000094741.2	AC140325.3	ENSG00000204510	PRAMEF7
ENSMUSG00000094741	ENSMUSG00000094741.2	AC140325.3	ENSG00000270601	PRAMEF5
ENSMUSG00000094741	ENSMUSG00000094741.2	AC140325.3	ENSG00000243073	PRAMEF4
ENSMUSG00000094741	ENSMUSG00000094741.2	AC140325.3	ENSG00000280267	PRAMEF26
ENSMUSG00000094741	ENSMUSG00000094741.2	AC140325.3	ENSG00000204501	PRAMEF15
ENSMUSG00000094741	ENSMUSG00000094741.2	AC140325.3	ENSG00000204481	PRAMEF14
ENSMUSG00000094741	ENSMUSG00000094741.2	AC140325.3	ENSG00000279169	PRAMEF13
ENSMUSG00000094741	ENSMUSG00000094741.2	AC140325.3	ENSG00000204478	PRAMEF20
ENSMUSG00000094741	ENSMUSG00000094741.2	AC140325.3	ENSG00000187545	PRAMEF10
ENSMUSG00000094741	ENSMUSG00000094741.2	AC140325.3	ENSG00000204505	PRAMEF9
ENSMUSG00000094741	ENSMUSG00000094741.2	AC140325.3	ENSG00000239810	PRAMEF11
ENSMUSG00000074720	ENSMUSG00000074720.2	AC140325.1	ENSG00000274764	PRAMEF27
ENSMUSG00000074720	ENSMUSG00000074720.2	AC140325.1	ENSG00000204479	PRAMEF17
ENSMUSG00000074720	ENSMUSG00000074720.2	AC140325.1	ENSG00000204480	PRAMEF19
ENSMUSG00000074720	ENSMUSG00000074720.2	AC140325.1	ENSG00000237700	PRAMEF33
ENSMUSG00000074720	ENSMUSG00000074720.2	AC140325.1	ENSG00000116726	PRAMEF12
ENSMUSG00000074720	ENSMUSG00000074720.2	AC140325.1	ENSG00000232423	PRAMEF6
ENSMUSG00000074720	ENSMUSG00000074720.2	AC140325.1	ENSG00000279804	PRAMEF18
ENSMUSG00000074720	ENSMUSG00000074720.2	AC140325.1	ENSG00000182330	PRAMEF8
ENSMUSG00000074720	ENSMUSG00000074720.2	AC140325.1	ENSG00000116721	PRAMEF1
ENSMUSG00000074720	ENSMUSG00000074720.2	AC140325.1	ENSG00000229571	PRAMEF25
ENSMUSG00000074720	ENSMUSG00000074720.2	AC140325.1	ENSG00000120952	PRAMEF2
ENSMUSG00000074720	ENSMUSG00000074720.2	AC140325.1	ENSG00000204510	PRAMEF7
ENSMUSG00000074720	ENSMUSG00000074720.2	AC140325.1	ENSG00000270601	PRAMEF5
ENSMUSG00000074720	ENSMUSG00000074720.2	AC140325.1	ENSG00000243073	PRAMEF4
ENSMUSG00000074720	ENSMUSG00000074720.2	AC140325.1	ENSG00000280267	PRAMEF26
ENSMUSG00000074720	ENSMUSG00000074720.2	AC140325.1	ENSG00000204501	PRAMEF15
ENSMUSG00000074720	ENSMUSG00000074720.2	AC140325.1	ENSG00000204481	PRAMEF14
ENSMUSG00000074720	ENSMUSG00000074720.2	AC140325.1	ENSG00000279169	PRAMEF13
ENSMUSG00000074720	ENSMUSG00000074720.2	AC140325.1	ENSG00000204478	PRAMEF20
ENSMUSG00000074720	ENSMUSG00000074720.2	AC140325.1	ENSG00000187545	PRAMEF10
ENSMUSG00000074720	ENSMUSG00000074720.2	AC140325.1	ENSG00000204505	PRAMEF9
ENSMUSG00000074720	ENSMUSG00000074720.2	AC140325.1	ENSG00000239810	PRAMEF11
ENSMUSG00000094337	ENSMUSG00000094337.8	AC140325.2	ENSG00000274764	PRAMEF27
ENSMUSG00000094337	ENSMUSG00000094337.8	AC140325.2	ENSG00000204479	PRAMEF17
ENSMUSG00000094337	ENSMUSG00000094337.8	AC140325.2	ENSG00000204480	PRAMEF19
ENSMUSG00000094337	ENSMUSG00000094337.8	AC140325.2	ENSG00000237700	PRAMEF33
ENSMUSG00000094337	ENSMUSG00000094337.8	AC140325.2	ENSG00000116726	PRAMEF12
ENSMUSG00000094337	ENSMUSG00000094337.8	AC140325.2	ENSG00000232423	PRAMEF6
